unit_id,name,S,P,V,INC,TOUR_acc,TOUR_ski,z_pop,z_cars,z_cars_income,z_cars_income_tour,z,p_two,q_fdr,lisa,lisa_p,border_band,dist_no_km,dist_fi_km
SE_2582,Boden,27943.0,12,16857.0,355.6,48.0,6.0,0.224,-0.01,0.181,-0.368,-0.368,0.7227039658291315,0.9927053949436064,ns,0.497,interior,207.501,67.49
SE_1081,Ronneby,29021.0,15,16726.0,316.0,41.0,0.0,0.692,0.567,-0.164,-0.367,-0.367,0.8037513445270791,0.9927053949436064,ns,0.405,interior,339.05,455.503
SE_2132,Nordanstig,9370.0,7,5864.0,307.6,26.0,8.0,0.466,0.447,-0.046,-0.349,-0.349,0.7086144017749189,0.9927053949436064,ns,0.1,interior,193.085,185.06
SE_1863,Hällefors,6495.0,5,3538.0,291.2,18.0,6.0,0.255,0.474,-0.162,-0.344,-0.344,0.6769707971107627,0.9927053949436064,LL,0.014,interior,103.25,241.827
SE_1440,Ale,32446.0,7,15900.0,385.8,4.0,3.0,-1.191,-1.2,-0.667,-0.33,-0.33,0.7812246750534908,0.9927053949436064,ns,0.132,interior,97.446,453.663
SE_1276,Klippan,17723.0,8,10373.0,318.1,10.0,0.0,-0.056,-0.137,-0.702,-0.328,-0.328,0.7191282935563796,0.9927053949436064,ns,0.774,interior,309.662,562.229
SE_1907,Surahammar,9934.0,4,5545.0,340.1,5.0,0.0,-0.684,-0.616,-0.598,-0.32,-0.32,0.7647873230314759,0.9927053949436064,ns,0.839,interior,193.364,168.836
SE_1962,Norberg,5517.0,3,3059.0,317.3,5.0,1.0,-0.455,-0.286,-0.463,-0.313,-0.313,0.7356857373025314,0.9927053949436064,ns,0.755,interior,175.107,164.882
SE_0319,Älvkarleby,9572.0,4,5126.0,332.8,7.0,0.0,-0.563,-0.426,-0.491,-0.307,-0.307,0.7021062013983522,0.9927053949436064,ns,0.606,interior,254.712,85.67
SE_0125,Ekerö,28808.0,5,13271.0,437.0,5.0,2.0,-1.692,-1.614,-0.386,-0.298,-0.298,0.8860236714450105,0.9927053949436064,ns,0.096,interior,286.658,122.371
SE_1781,Kristinehamn,23817.0,11,12922.0,315.8,19.0,0.0,0.225,0.226,-0.445,-0.279,-0.279,0.8050712541601912,0.9927053949436064,ns,0.699,interior,102.81,289.556
SE_0604,Aneby,6852.0,3,4127.0,344.0,7.0,1.0,-0.498,-0.458,-0.313,-0.262,-0.262,0.623687045715855,0.9927053949436064,ns,0.481,interior,198.354,351.36
SE_1060,Olofström,13061.0,8,7113.0,316.6,31.0,0.0,0.257,0.376,0.0,-0.261,-0.261,0.8557192560203067,0.9927053949436064,ns,0.567,interior,321.399,490.344
SE_0117,Österåker,49282.0,11,22989.0,409.0,46.0,0.0,-0.777,-0.766,0.323,-0.251,-0.251,0.7641823799661045,0.9927053949436064,ns,0.624,interior,323.393,63.191
SE_0687,Tranås,18755.0,6,9173.0,333.1,5.0,1.0,-0.617,-0.462,-0.692,-0.246,-0.246,0.6951568755771582,0.9927053949436064,ns,0.06,interior,193.673,335.121
SE_1466,Herrljunga,9441.0,4,5509.0,336.7,7.0,0.0,-0.447,-0.417,-0.433,-0.24,-0.24,0.66309306743278,0.9927053949436064,ns,0.397,interior,114.765,413.909
SE_1780,Karlstad,97233.0,24,47011.0,350.7,31.0,0.0,0.082,-0.083,-0.447,-0.23,-0.23,0.8706948017230356,0.9927053949436064,ns,0.237,interior,68.521,296.743
SE_0883,Västervik,36434.0,17,18907.0,320.6,60.0,2.0,0.794,0.83,0.254,-0.224,-0.224,0.7986805058066109,0.9927053949436064,ns,0.756,interior,269.156,269.673
SE_2463,Åsele,2718.0,3,1688.0,295.0,17.0,3.0,0.193,0.343,0.009,-0.216,-0.216,0.8269975831777631,0.9927053949436064,ns,0.387,interior,121.567,125.263
SE_1489,Alingsås,42382.0,9,21007.0,363.0,5.0,0.0,-0.925,-0.999,-0.959,-0.203,-0.203,0.7264890713602832,0.9927053949436064,ns,0.761,interior,94.391,436.498
SE_0461,Gnesta,11520.0,5,5755.0,340.2,8.0,0.0,-0.59,-0.387,-0.349,-0.202,-0.202,0.957812326809176,0.9927053949436064,ns,0.264,interior,268.795,160.053
SE_0562,Finspång,21694.0,8,11725.0,338.1,6.0,0.0,-0.486,-0.511,-0.729,-0.197,-0.197,0.9800971927310256,0.9927053949436064,ns,0.239,interior,211.523,230.171
SE_1381,Laholm,26565.0,13,16336.0,330.5,20.0,11.0,0.522,0.285,-0.079,-0.194,-0.194,0.8436021539736928,0.9927053949436064,ns,0.282,interior,264.146,521.528
SE_1785,Säffle,15011.0,9,8808.0,307.8,19.0,0.0,0.417,0.4,-0.265,-0.193,-0.193,0.8398495492327056,0.9927053949436064,ns,0.478,interior,34.188,340.997
SE_2380,Östersund,64881.0,23,33977.0,345.7,79.0,5.0,0.758,0.611,0.531,-0.173,-0.173,0.7974844690402347,0.9927053949436064,ns,0.317,interior,54.89,253.509
SE_1486,Strömstad,13476.0,8,7290.0,355.5,81.0,0.0,0.164,0.282,0.66,-0.173,-0.173,0.9780815645861008,0.9927053949436064,ns,0.363,Norway,0.0,455.964
SE_0483,Katrineholm,34324.0,12,16756.0,319.5,10.0,1.0,-0.068,0.016,-0.733,-0.173,-0.173,0.8582585134034627,0.9927053949436064,ns,0.669,interior,209.058,193.892
SE_1862,Degerfors,9357.0,4,5451.0,321.5,3.0,0.0,-0.435,-0.4,-0.681,-0.165,-0.165,0.7147305128638527,0.9927053949436064,ns,0.793,interior,132.819,279.267
SE_1452,Tranemo,11883.0,5,6915.0,344.4,4.0,0.0,-0.589,-0.606,-0.561,-0.155,-0.155,0.9607069094093736,0.9927053949436064,ns,0.327,interior,166.491,424.888
SE_2425,Dorotea,2339.0,2,1499.0,310.0,8.0,4.0,-0.024,0.102,-0.016,-0.15,-0.15,0.716264532609746,0.9927053949436064,ns,0.295,interior,23.141,200.551
SE_0380,Uppsala,245329.0,42,91337.0,349.1,51.0,3.0,0.16,0.344,-0.263,-0.13,-0.13,0.8997413592377838,0.9927053949436064,ns,0.209,interior,252.592,49.12
SE_1442,Vårgårda,12384.0,5,6937.0,357.3,6.0,1.0,-0.599,-0.57,-0.305,-0.128,-0.128,0.9448987561630835,0.9927053949436064,ns,0.443,interior,109.089,430.166
SE_2101,Ockelbo,5758.0,5,3356.0,305.0,15.0,1.0,0.199,0.343,-0.027,-0.116,-0.116,0.9800902670431063,0.9927053949436064,ns,0.782,interior,179.961,131.826
SE_0139,Upplands-Bro,32453.0,7,13033.0,367.4,4.0,0.0,-1.261,-0.949,-0.673,-0.111,-0.111,0.975246010429064,0.9927053949436064,ns,0.954,interior,285.296,107.492
SE_0127,Botkyrka,95592.0,16,31721.0,327.5,4.0,0.0,-1.012,-0.518,-1.592,-0.089,-0.089,0.9824360287890175,0.9927053949436064,LL,0.001,interior,308.727,130.261
SE_1761,Hammarö,16940.0,4,8821.0,409.7,3.0,0.0,-1.309,-1.277,-0.389,-0.084,-0.084,0.9717747489650569,0.9927053949436064,ns,0.257,interior,88.132,323.597
SE_2031,Rättvik,11042.0,9,7465.0,309.3,33.0,3.0,0.889,0.734,0.224,-0.078,-0.078,0.8772678596519686,0.9927053949436064,ns,0.305,interior,114.664,199.926
SE_2282,Kramfors,17631.0,13,10356.0,308.1,56.0,3.0,1.082,1.075,0.456,-0.06,-0.06,0.9896310070873395,0.996503444636557,LH,0.039,interior,194.514,103.96
SE_1491,Ulricehamn,25087.0,11,14683.0,345.0,12.0,9.0,0.137,-0.018,-0.046,-0.048,-0.048,0.9986150872242452,0.9998321088076876,ns,0.927,interior,141.898,404.071
SE_1287,Trelleborg,46936.0,14,23976.0,343.3,14.0,0.0,-0.105,-0.19,-0.491,-0.042,-0.042,0.9016986454132695,0.9927053949436064,ns,0.792,interior,391.535,616.601
SE_1231,Burlöv,19844.0,7,8513.0,325.6,5.0,0.0,-0.575,-0.221,-0.547,-0.02,-0.02,0.9475437008122488,0.9927053949436064,ns,0.998,interior,370.211,615.547
SE_0114,Upplands Väsby,50110.0,9,19303.0,365.8,3.0,0.0,-1.325,-1.03,-0.903,-0.015,-0.015,0.9388880589955622,0.9927053949436064,ns,0.427,interior,302.624,101.922
SE_0643,Habo,13275.0,4,7104.0,384.6,4.0,0.0,-0.94,-0.879,-0.258,-0.005,-0.005,0.9413546157340811,0.9927053949436064,ns,0.191,interior,166.415,365.361
SE_2039,Älvdalen,6929.0,9,4935.0,317.8,115.0,47.0,1.364,1.254,1.127,-0.001,-0.001,0.9357357746515087,0.9927053949436064,ns,0.245,Norway,0.0,276.446
SE_0330,Knivsta,20714.0,4,9908.0,419.1,4.0,0.0,-1.385,-1.274,-0.238,0.0,0.0,0.8588576671356564,0.9927053949436064,ns,0.334,interior,287.122,76.916
SE_2081,Borlänge,51735.0,21,28695.0,334.5,29.0,22.0,0.866,0.67,0.304,0.013,0.013,0.9527121348240153,0.9927053949436064,ns,0.795,interior,137.051,189.491
SE_1495,Skara,18654.0,10,10335.0,344.2,35.0,1.0,0.262,0.284,0.392,0.018,0.018,0.8809447621512416,0.9927053949436064,ns,0.86,interior,105.357,368.094
SE_1496,Skövde,57763.0,16,31233.0,369.1,16.0,2.0,-0.198,-0.467,-0.237,0.022,0.022,0.9151511013038963,0.9927053949436064,HL,0.035,interior,123.338,345.81
SE_0428,Vingåker,8856.0,5,5056.0,310.5,4.0,1.0,-0.048,0.046,-0.375,0.023,0.023,0.9107884512312511,0.9927053949436064,ns,0.443,interior,210.201,217.178
SE_2084,Avesta,22753.0,10,13354.0,332.6,10.0,1.0,0.11,-0.026,-0.325,0.034,0.034,0.9998321088076876,0.9998321088076876,ns,0.65,interior,190.156,134.65
SE_1402,Partille,40730.0,7,16696.0,410.2,4.0,0.0,-1.556,-1.351,-0.428,0.034,0.034,0.8646071707014242,0.9927053949436064,HH,0.039,interior,127.741,487.862
SE_1267,Höör,17376.0,8,9549.0,351.0,17.0,0.0,-0.108,-0.085,0.103,0.051,0.051,0.9060053800305499,0.9927053949436064,ns,0.315,interior,332.643,561.728
SE_0561,Åtvidaberg,11460.0,6,6348.0,331.1,6.0,0.0,-0.23,-0.148,-0.264,0.054,0.054,0.8525682455365771,0.9927053949436064,ns,0.686,interior,249.145,267.965
SE_2403,Bjurholm,2348.0,3,1464.0,300.2,8.0,3.0,0.223,0.385,0.155,0.063,0.063,0.8654557443934434,0.9927053949436064,ns,0.206,interior,208.332,83.141
SE_2121,Ovanåker,11525.0,8,6891.0,315.1,17.0,2.0,0.473,0.483,0.101,0.064,0.064,0.9381981735431818,0.9927053949436064,ns,0.399,interior,126.104,191.042
SE_1861,Hallsberg,16232.0,7,9102.0,336.2,6.0,0.0,-0.229,-0.232,-0.358,0.072,0.072,0.9624552180957616,0.9927053949436064,ns,0.686,interior,166.872,245.481
SE_1264,Skurup,16861.0,6,9252.0,350.0,5.0,0.0,-0.471,-0.464,-0.358,0.075,0.075,0.9263620649439048,0.9927053949436064,ns,0.354,interior,385.965,607.126
SE_1278,Båstad,15912.0,8,9436.0,347.2,19.0,0.0,0.099,0.03,0.166,0.077,0.077,0.9761043695621465,0.9927053949436064,ns,0.403,interior,276.569,557.215
SE_0140,Nykvarn,12107.0,3,6139.0,429.6,5.0,0.0,-1.185,-1.05,0.064,0.098,0.098,0.9635068989296821,0.9927053949436064,ns,0.263,interior,284.73,145.343
SE_2082,Säter,11243.0,7,7126.0,341.2,12.0,0.0,0.077,-0.021,0.044,0.101,0.101,0.7848800129981637,0.9927053949436064,ns,0.796,interior,144.081,168.057
SE_1983,Köping,25978.0,10,13607.0,327.7,7.0,0.0,-0.091,-0.073,-0.512,0.102,0.102,0.9331457573650215,0.9927053949436064,ns,0.171,interior,175.546,182.98
SE_2184,Hudiksvall,37645.0,20,21708.0,335.0,89.0,2.0,1.188,1.031,0.914,0.105,0.105,0.8911014900428988,0.9927053949436064,ns,0.357,interior,187.444,162.373
SE_1080,Karlskrona,66420.0,25,35140.0,354.0,107.0,2.0,0.959,0.802,1.073,0.109,0.109,0.9574067253851255,0.9927053949436064,ns,0.11,interior,353.493,450.926
SE_0821,Högsby,5438.0,5,3114.0,274.3,6.0,2.0,0.575,0.775,-0.161,0.112,0.112,0.9256857281919655,0.9927053949436064,ns,0.14,interior,297.277,360.527
SE_2482,Skellefteå,76542.0,26,40341.0,369.8,101.0,12.0,0.742,0.528,1.155,0.113,0.113,0.8462791509752521,0.9927053949436064,ns,0.263,interior,223.97,73.344
SE_2280,Härnösand,24654.0,11,12604.0,322.5,15.0,3.0,0.312,0.421,-0.024,0.125,0.125,0.9823133374300133,0.9927053949436064,ns,0.098,interior,203.557,133.454
SE_2303,Ragunda,5135.0,5,3363.0,305.3,8.0,4.0,0.451,0.474,0.123,0.133,0.133,0.8995061463705992,0.9927053949436064,ns,0.092,interior,101.222,184.676
SE_0123,Järfälla,86330.0,14,32596.0,370.9,6.0,1.0,-1.068,-0.821,-0.684,0.137,0.137,0.9335242659617683,0.9927053949436064,HL,0.019,interior,303.399,112.285
SE_2026,Gagnef,10430.0,7,6727.0,338.9,18.0,0.0,0.29,0.193,0.259,0.145,0.145,0.863324940533573,0.9927053949436064,ns,0.195,interior,106.104,213.4
SE_0862,Emmaboda,9056.0,7,5327.0,308.7,17.0,0.0,0.511,0.593,0.175,0.147,0.147,0.9052553336731881,0.9927053949436064,HH,0.037,interior,323.527,418.218
SE_2305,Bräcke,6099.0,6,3764.0,304.8,14.0,3.0,0.548,0.628,0.244,0.153,0.153,0.8082901675649177,0.9927053949436064,ns,0.089,interior,111.295,211.346
SE_1460,Bengtsfors,9138.0,8,5567.0,304.7,23.0,0.0,0.748,0.791,0.292,0.16,0.16,0.8403423976982949,0.9927053949436064,ns,0.142,Norway,0.605,394.505
SE_1261,Kävlinge,32430.0,9,17420.0,396.0,10.0,0.0,-0.707,-0.836,-0.023,0.161,0.161,0.8131945798580669,0.9927053949436064,ns,0.344,interior,350.036,596.208
SE_0682,Nässjö,31648.0,12,16855.0,335.3,11.0,0.0,0.069,0.022,-0.289,0.167,0.167,0.8890683847335638,0.9927053949436064,ns,0.283,interior,209.831,364.656
SE_1784,Arvika,25682.0,15,15514.0,331.3,42.0,1.0,0.896,0.728,0.517,0.176,0.176,0.7819747749056718,0.9927053949436064,ns,0.513,Norway,0.0,344.406
SE_2418,Malå,2990.0,3,1801.0,328.1,10.0,5.0,0.13,0.301,0.394,0.181,0.181,0.879219323701204,0.9927053949436064,ns,0.072,interior,152.325,204.626
SE_1981,Sala,22853.0,11,12458.0,327.6,17.0,2.0,0.39,0.405,0.096,0.182,0.182,0.938235088880705,0.9927053949436064,ns,0.333,interior,199.797,133.284
SE_0382,Östhammar,22172.0,11,12550.0,344.2,29.0,1.0,0.394,0.349,0.43,0.192,0.192,0.8892353583206146,0.9927053949436064,ns,0.953,interior,283.403,13.024
SE_1764,Grums,9057.0,6,5234.0,321.4,7.0,1.0,0.119,0.202,-0.002,0.199,0.199,0.8027954273297305,0.9927053949436064,ns,0.303,interior,53.688,346.316
SE_2182,Söderhamn,24858.0,14,13770.0,313.3,24.0,1.0,0.804,0.804,0.15,0.203,0.203,0.8187860846705672,0.9927053949436064,ns,0.257,interior,199.935,133.678
SE_1730,Eda,8499.0,6,5250.0,323.5,8.0,4.0,0.31,0.319,0.167,0.213,0.213,0.8985788611729436,0.9927053949436064,ns,0.508,Norway,0.0,370.768
SE_0685,Vetlanda,27498.0,13,15652.0,332.4,13.0,3.0,0.385,0.275,-0.025,0.217,0.217,0.7423957103604133,0.9927053949436064,ns,0.571,interior,238.236,357.002
SE_2083,Hedemora,15345.0,10,9365.0,322.6,19.0,3.0,0.654,0.581,0.283,0.226,0.226,0.8379680294506983,0.9927053949436064,ns,0.328,interior,169.969,151.192
SE_1214,Svalöv,14544.0,6,8351.0,344.1,3.0,0.0,-0.357,-0.382,-0.353,0.231,0.231,0.8740639389108906,0.9927053949436064,ns,0.825,interior,324.177,576.265
SE_2584,Kiruna,22433.0,12,13806.0,407.8,213.0,16.0,0.581,0.393,1.776,0.237,0.237,0.8336612245501867,0.9927053949436064,ns,0.216,Norway,0.0,0.0
SE_0684,Sävsjö,11668.0,7,6582.0,319.6,7.0,1.0,0.193,0.273,-0.025,0.263,0.263,0.8134613138643928,0.9927053949436064,ns,0.053,interior,227.121,400.413
SE_0761,Lessebo,8342.0,6,4222.0,305.0,11.0,1.0,0.319,0.615,0.2,0.266,0.266,0.8452559389345379,0.9927053949436064,HH,0.004,interior,309.594,415.607
SE_0120,Värmdö,46637.0,11,19957.0,415.1,37.0,0.0,-0.696,-0.502,0.782,0.281,0.281,0.8179762646694222,0.9927053949436064,ns,0.059,interior,338.852,50.864
SE_1488,Trollhättan,59073.0,16,28603.0,342.9,9.0,0.0,-0.116,-0.158,-0.545,0.286,0.286,0.8487838360682276,0.9927053949436064,ns,0.663,interior,71.877,435.203
SE_1291,Simrishamn,18962.0,14,11108.0,308.9,49.0,0.0,1.282,1.28,0.697,0.298,0.298,0.8067458428857224,0.9927053949436064,ns,0.53,interior,380.357,566.185
SE_0360,Tierp,21193.0,11,11230.0,320.1,17.0,0.0,0.485,0.576,0.149,0.298,0.298,0.832595186355667,0.9927053949436064,ns,0.631,interior,252.482,55.704
SE_1260,Bjuv,15968.0,6,8854.0,326.6,0.0,0.0,-0.591,-0.596,-0.964,0.298,0.298,0.7070774899175332,0.9927053949436064,ns,0.616,interior,318.332,581.893
SE_1494,Lidköping,40539.0,16,23112.0,355.5,24.0,0.0,0.352,0.127,0.282,0.31,0.31,0.6762428231767147,0.9927053949436064,ns,0.392,interior,71.45,366.002
SE_1482,Kungälv,49785.0,12,26021.0,402.3,12.0,0.0,-0.644,-0.838,0.088,0.312,0.312,0.736122873387297,0.9927053949436064,ns,0.397,interior,98.877,474.068
SE_2462,Vilhelmina,6263.0,8,4114.0,305.9,57.0,8.0,1.272,1.299,0.979,0.322,0.322,0.7603362160352133,0.9927053949436064,ns,0.171,Norway,0.0,197.185
SE_0840,Mörbylånga,16144.0,10,9857.0,349.4,45.0,0.0,0.643,0.557,0.842,0.322,0.322,0.8218211572321688,0.9927053949436064,ns,0.698,interior,375.631,394.914
SE_0881,Nybro,20145.0,12,11540.0,311.2,14.0,4.0,0.794,0.78,0.142,0.326,0.326,0.8183745885781382,0.9927053949436064,ns,0.127,interior,316.762,384.776
